country,adult_literacy_rate,gross_national_income_per_capita_ppp_international,population_in_thousands_total,population_median_age_years,per_capita_total_expenditure_on_health_ppp_int,per_capita_government_expenditure_on_health_ppp_int,healthy_life_expectancy_hale_at_birth_years_both_sexes,life_expectancy_at_birth_years_both_sexes,population_with_sustainable_access_to_improved_sanitation_total,aid_received_total,income_per_person,population_proportion_over_60,population_proportion_under_15,contraceptive_prevalence,total_expenditure_on_health_as_percentage_of_gross_domestic_product,children_per_woman,infant_mortality_rate,patents_granted
United Arab Emirates,88.5,31190,4248,30,673,491,64,78,97,536e4,33487,2,20,0,2.6,2.3099999999999996,8,0
United Kingdom,0,33650,60512,39,2784,2434,71,79,0,0,31580,22,18,82,8.4,1.82,5,52593
United States of America,0,44070,302841,36,6714,3074,69,78,100,0,41674,17,21,72.8,15.3,2.05,7,167334
Uruguay,96.8,9940,3331,33,989,430,66,75,100,146e5,9266,18,24,77,8.2,2.12,12,55
Uzbekistan,0,2190,26981,23,177,89,59,68,96,1.6900000000000002,1975,6,32,64.9,4.7,2.4899999999999998,40,515
Vanuatu,75.5,3480,221,20,139,90,59,69,50,395e5,3477,5,39,0,4.2,3.74,31,0
Venezuela,93,10970,27191,25,396,196,64,74,83,487e5,9876,8,31,0,5.1,0,0,756
Vietnam,90.3,2310,86206,25,264,86,61,72,65,1.91,2142,8,29,78.5,6.6,2.14,16,727
West Bank and Gaza,0,0,0,0,0,0,0,0,0,1.12,3542,0,0,0,0,5.09,21,0
Yemen,54.1,2090,21732,17,82,38,49,61,46,3.36,2276,4,45,23.1,4.6,5.5,76,0
Algeria,69.9,5940,33351,24,188,146,61,71,94,3.71,6011,7,29,61.4,3.6,2.38,34,111
Bhutan,0,4e3,649,23,107,73,53,64,52,896e5,3694,7,32,30.7,4.5,2.19,65,0
Zambia,68,1140,11696,17,62,29,35,43,52,9.350000000000001,1175,5,46,34.2,5.2,5.18,102,63
Zimbabwe,89.5,0,13228,19,147,77,34,43,46,3.7600000000000002,538,5,39,60.2,8.4,3.19,68,78
Bolivia,86.7,3810,9354,21,204,128,54,66,43,6.319999999999999,3618,7,38,58.4,6.6,3.5,52,47
